,Average EVI,Average NDWI,Average MSAVI,Average Rainfall,lon,lat,Drought_Severity
0,0.5749774129999999,0.190392919,0.710922976,1.516676712,76.767878,18.421,1
1,0.521972045,0.216989739,0.663896814,1.229093151,56.7676,19.76778,2
2,0.143410978,-0.07272440299999999,0.239586627,1.464838356,70.85136283,26.923115799999998,0
3,0.570047494,0.238072962,0.712754277,1.719638356,74.04450491,18.49114943,1
4,0.551310611,0.239503899,0.6948725309999999,1.451643836,74.16953213,18.53087668,1
5,0.56111987,0.226352058,0.7075255509999999,1.3850054790000002,74.22808242,18.53625784,1
6,0.578099849,0.268269938,0.7229996670000001,1.568693151,73.56300253,17.45876683,1
7,0.57363758,0.250065364,0.716583565,1.628156164,74.12300253,18.47590371,1
8,0.47693106,0.1484647,0.636039276,2.484534247,74.02353492,18.51694176,1
9,0.578588846,0.25378513,0.715949435,1.6766246580000002,73.95438052,17.81317055,1
10,0.5180025079999999,0.151428167,0.676548898,3.238775342,74.20740906,17.21348095,1
11,0.494154062,0.167785155,0.646300557,2.907605479,73.61635065,18.53430695,1
12,0.517119439,0.20417722100000002,0.662563103,2.484534247,73.91644649999999,17.93347836,1
13,0.547731104,0.21665511699999998,0.6912681909999999,2.569813699,74.06547381,17.66805009,1
14,0.59255819,0.269063033,0.7312593629999999,2.162216438,74.1196556,17.44815949,1
15,0.5562093370000001,0.23481096,0.704460902,2.033978082,74.33736462,17.12356864,1
16,0.501224419,0.19728406699999998,0.654443447,2.459046575,73.95711598,17.8747088,1
17,0.46756337299999995,0.13507797,0.6218372320000001,2.703071233,73.88235709,18.17873495,1
18,0.427739883,0.140294235,0.57341614,2.730452055,73.90786847,17.95943458,1
19,0.505032742,0.18555380300000002,0.658438974,2.907605479,73.92877322,17.9438313,1
20,0.463437944,0.134387685,0.6175339120000001,2.026709589,74.02454043,18.33437552,1
21,0.549566236,0.22656918,0.685870544,2.907605479,73.94411579,17.90150055,1
22,0.450953576,0.11937160699999999,0.608644926,2.569813699,74.07743420000001,17.66499034,1
23,0.547935921,0.232932941,0.6976647490000001,1.6766246580000002,74.20822893,17.23633109,1
24,0.538442482,0.21910069,0.685090931,2.907605479,73.923773,17.91122187,1
25,0.485009125,0.154632514,0.641668365,2.180134247,74.14925267,17.63773595,1
26,0.534750768,0.217749835,0.688145248,2.459046575,73.96621942,17.89412477,1
27,0.47231377399999996,0.16346881900000002,0.631938029,2.151750685,74.11112329,17.47086674,1
28,0.540393359,0.233183478,0.6768213340000001,2.459046575,73.97139425,17.86204921,1
